"","egg","Olim","temp","velocity"
"660",30,0.55144,7,0.04
"661",31,0.559983,7,0.04
"662",32,0.506845,7,0.04
"663",33,0.561916,7,0.04
"664",34,0.537722,7,0.04
"665",35,0.537104,7,0.04
"666",36,0.521698,7,0.04
"667",37,0.555216,7,0.04
"668",38,0.527272,7,0.04
"669",39,0.518596,7,0.04
"670",40,0.594154,7,0.04
"671",41,0.553913,7,0.04
"672",42,0.528827,7,0.04
"673",43,0.531756,7,0.04
"674",44,0.511137,7,0.04
"675",45,0.544287,7,0.04
"676",46,0.552346,7,0.04
"677",47,0.58207,7,0.04
"678",48,0.531491,7,0.04
"679",49,0.551991,7,0.04
"680",50,0.584346,7,0.04
"681",51,0.568339,7,0.04
"682",52,0.55335,7,0.04
"683",53,0.5761,7,0.04
"684",54,0.558824,7,0.04
"685",55,0.55119,7,0.04
"686",56,0.552268,7,0.04
"687",57,0.567524,7,0.04
"688",58,0.573593,7,0.04
"689",59,0.578015,7,0.04
"690",60,0.548986,7,0.04
"691",61,0.546667,7,0.04
"692",62,0.598057,7,0.04
"693",63,0.518818,7,0.04
"694",64,0.604197,7,0.04
"695",65,0.592257,7,0.04
"696",66,0.527863,7,0.04
"697",67,0.575579,7,0.04
"698",68,0.5886,7,0.04
"699",69,0.597622,7,0.04
"700",70,0.557058,7,0.04
"701",71,0.55692,7,0.04
"702",72,0.579553,7,0.04
"703",73,0.607441,7,0.04
"704",74,0.603446,7,0.04
"705",75,0.59322,7,0.04
"706",76,0.614406,7,0.04
"707",77,0.558085,7,0.04
"708",78,0.547018,7,0.04
"709",79,0.608827,7,0.04
"710",80,0.584377,7,0.04
"711",81,0.563154,7,0.04
"712",82,0.527576,7,0.04
"713",83,0.561314,7,0.04
"714",84,0.559166,7,0.04
"715",85,0.60453,7,0.04
"716",86,0.566126,7,0.04
"717",87,0.61967,7,0.04
"718",88,0.61899,7,0.04
"719",89,0.612049,7,0.04
"720",90,0.56936,7,0.04
"721",91,0.58681,7,0.04
"722",92,0.568649,7,0.04
"723",93,0.564036,7,0.04
"724",94,0.560672,7,0.04
"725",95,0.555313,7,0.04
"726",96,0.543416,7,0.04
"727",97,0.59354,7,0.04
"728",98,0.653038,7,0.04
"729",99,0.627452,7,0.04
"730",100,0.633109,7,0.04
"731",101,0.558691,7,0.04
"732",102,0.596906,7,0.04
"733",103,0.518697,7,0.04
