"","Tube","SampleDate","Location","rep","length","weight"
"514",13,"Late","Top",7,20.88,0.141
"515",13,"Late","Top",4,20.31,0.14
"516",13,"Late","Top",20,20.04,0.138
"517",13,"Late","Top",15,19.94,0.137
"518",13,"Late","Top",8,19.63,0.135
"519",13,"Late","Bottom",9,18.04,0.131
"520",13,"Late","Top",11,23.39,0.126
"521",14,"Late","Bottom",20,20.19,0.206
"522",14,"Late","Bottom",7,19.01,0.199
"523",14,"Late","Bottom",4,18.3,0.191
"524",14,"Late","Top",7,20.08,0.19
"525",14,"Late","Bottom",16,20.82,0.188
"526",14,"Late","Top",2,17.33,0.187
"527",14,"Late","Bottom",5,17.16,0.185
"528",14,"Late","Top",6,19.84,0.185
"529",14,"Late","Bottom",8,17.8,0.184
"530",14,"Late","Bottom",14,18.95,0.18
"531",14,"Late","Bottom",3,15.33,0.179
"532",14,"Late","Top",3,18.9,0.175
"533",14,"Late","Bottom",2,19.49,0.175
"534",14,"Late","Bottom",6,19.94,0.141
"535",14,"Late","Bottom",1,18.49,0.139
"536",14,"Late","Bottom",13,18.41,0.134
"537",14,"Late","Bottom",18,18.67,0.133
"538",14,"Late","Bottom",11,18.7,0.13
"539",14,"Late","Top",4,18.78,0.13
"540",14,"Late","Bottom",15,19.21,0.13
"541",14,"Late","Bottom",17,17.47,0.129
"542",14,"Late","Top",5,20.16,0.129
"543",14,"Late","Top",1,17.65,0.128
"544",14,"Late","Bottom",19,18.65,0.126
"545",14,"Late","Bottom",9,16.37,0.125
"546",14,"Late","Bottom",12,18.09,0.124
"547",14,"Late","Bottom",10,15.13,0.12
"561",15,"Late","Top",1,24.27,0.234
"562",15,"Late","Top",12,23.24,0.23
"563",15,"Late","Bottom",13,22.65,0.229
"564",15,"Late","Bottom",18,22.13,0.228
"565",15,"Late","Bottom",12,22.54,0.227
"566",15,"Late","Top",5,22.39,0.226
"567",15,"Late","Bottom",8,21.12,0.225
"568",15,"Late","Top",4,23.67,0.223
"569",15,"Late","Bottom",2,21.65,0.222
"570",15,"Late","Bottom",5,22.7,0.222
"571",15,"Late","Bottom",3,22.68,0.219
"572",15,"Late","Top",7,24.8,0.219
"573",15,"Late","Top",17,23.21,0.216
"574",15,"Late","Bottom",17,22.11,0.214
"575",15,"Late","Bottom",20,22.38,0.211
"576",15,"Late","Top",20,22.87,0.211
"577",15,"Late","Top",11,22.19,0.21
"578",15,"Late","Bottom",15,22.33,0.21
"579",15,"Late","Top",10,23.19,0.21
"580",15,"Late","Bottom",10,22.1,0.208
"581",15,"Late","Top",13,21.12,0.207
"582",15,"Late","Top",14,18.64,0.198
"583",15,"Late","Top",3,21.41,0.193
"584",15,"Late","Top",16,22.19,0.159
"585",15,"Late","Top",8,20.97,0.158
"586",15,"Late","Bottom",7,20.23,0.155
"587",15,"Late","Bottom",11,20.36,0.154
"588",15,"Late","Top",18,23.67,0.154
"589",15,"Late","Bottom",1,20.54,0.151
"590",15,"Late","Bottom",19,20.38,0.148
"591",15,"Late","Top",15,20.91,0.146
"592",15,"Late","Top",2,22.11,0.146
"593",15,"Late","Bottom",16,20.35,0.145
"594",15,"Late","Bottom",9,20.79,0.145
"595",15,"Late","Top",6,21.81,0.144
"596",15,"Late","Top",9,21.53,0.142
"597",15,"Late","Bottom",4,19.97,0.14
"598",15,"Late","Bottom",6,21.19,0.14
"599",15,"Late","Top",19,18.76,0.138
"600",15,"Late","Bottom",14,21.33,0.138
"601",16,"Early","Top",5,22.01,0.205
"602",16,"Early","Bottom",11,21.35,0.201
"603",16,"Early","Bottom",4,20.97,0.2
"604",16,"Early","Bottom",2,20.29,0.199
"605",16,"Early","Top",12,19.68,0.198
"606",16,"Early","Bottom",6,21.48,0.197
"607",16,"Early","Top",10,20.86,0.196
"608",16,"Early","Top",14,14.39,0.194
"609",16,"Early","Bottom",18,19.91,0.193
"610",16,"Early","Top",2,23.13,0.193
"611",16,"Early","Bottom",8,20.15,0.191
"612",16,"Early","Bottom",12,19.23,0.19
"613",16,"Early","Bottom",15,20.17,0.19
"614",16,"Early","Top",4,20.92,0.187
"615",16,"Early","Top",3,18.13,0.182
